sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement,history,source
169,AS/DIM/83G4/2015/42,Assam,,,,25.155,93.067,,,,uploaded landslide_report.pdf
170,AS/DIM/83G4/2015/26,Assam,,,,26.0,93.073,,,,uploaded landslide_report.pdf
171,ASM/DH/83G4/2016/25,Assam,,,,25.0,93.022222,,,,uploaded landslide_report.pdf
172,ASM/DH/83G4/2016/24,Assam,,,,24.0,93.022778,,,,uploaded landslide_report.pdf
173,AS/DIM/83G4/2015/57,Assam,,,,25.156,93.018,,,,uploaded landslide_report.pdf
174,ASM/DH/83G4/2016/27,Assam,,,,27.0,93.018389,,,,uploaded landslide_report.pdf
175,ASM/DH/83G4/2016/26,Assam,,,,26.0,93.019611,,,,uploaded landslide_report.pdf
176,ASM/DH/83G4/2016/06,Assam,,,,25.156694,93.017667,,,,uploaded landslide_report.pdf
177,AS/DIM/83G4/2015/64,Assam,,,,25.157,93.062,,,,uploaded landslide_report.pdf
178,AS/DIM/83G4/2015/43,Assam,,,,25.157,93.066,,,,uploaded landslide_report.pdf
179,ASM/DH/83G4/2016/29,Assam,,,,29.0,93.017194,,,,uploaded landslide_report.pdf
180,ASM/DH/83G4/2016/28,Assam,,,,28.0,93.016083,,,,uploaded landslide_report.pdf
181,ASM/DH/83G4/2016/30,Assam,,,,30.0,93.017,,,,uploaded landslide_report.pdf
182,ASM/DH/83G4/2016/14,Assam,,,,25.163444,93.023167,,,,uploaded landslide_report.pdf
183,ASM/DH/83G4/2016/42,Assam,,,,25.164,93.040194,,,,uploaded landslide_report.pdf
184,ASM/DH/83G4/2016/13,Assam,,,,25.165639,93.025444,,,,uploaded landslide_report.pdf
185,AS/DIM/83G4/2015/44,Assam,,,,25.169,93.155,,,,uploaded landslide_report.pdf
186,AS/DIM/83G4/2015/45,Assam,,,,25.169,93.156,,,,uploaded landslide_report.pdf
187,AS/DIH/83G08/2020/15,Assam,,,,25.17,93.36,,,,uploaded landslide_report.pdf
188,AS/DIH/83G08/2020/46,Assam,,,,25.17,93.29,,,,uploaded landslide_report.pdf
189,ASM/DH/83G4/2016/12,Assam,,,,25.171889,93.003944,,,,uploaded landslide_report.pdf
190,ASM/DH/83G4/2016/11,Assam,,,,25.175056,93.020417,,,,uploaded landslide_report.pdf
191,ASM/DH/83G4/2016/10,Assam,,,,25.175972,93.020167,,,,uploaded landslide_report.pdf
192,ASM/DH/83G4/2016/23,Assam,,,,23.0,93.116139,,,,uploaded landslide_report.pdf
193,ASM/DH/83G4/2016/08,Assam,,,,25.176917,93.026556,,,,uploaded landslide_report.pdf
194,ASM/DH/83G4/2016/09,Assam,,,,25.177028,93.020889,,,,uploaded landslide_report.pdf
195,ASM/DH/83G4/2016/05,Assam,,,,25.1775,93.026222,,,,uploaded landslide_report.pdf
196,ASM/DH/83G4/2016/01,Assam,,,,25.179861,93.070778,,,,uploaded landslide_report.pdf
197,AS/DIH/83G08/2020/14,Assam,,,,25.18,93.33,,,,uploaded landslide_report.pdf
198,AS/DIH/83G08/2020/39,Assam,,,,25.18,93.3,,,,uploaded landslide_report.pdf
199,AS/DIH/83G08/2020/41,Assam,,,,25.18,93.3,,,,uploaded landslide_report.pdf
200,AS/DIH/83G08/2020/42,Assam,,,,25.18,93.3,,,,uploaded landslide_report.pdf
201,ASM/DH/83G4/2016/20,Assam,,,,20.0,93.125639,,,,uploaded landslide_report.pdf
